#SIMPLE-BINARY__NONE, SIMPLE-BINARY__GZIP, SIMPLE-BINARY__BZIP2, BYTE__NONE, BYTE__GZIP, BYTE__BZIP2, BIT__NONE, BIT__GZIP, BIT__BZIP2
318504 378174 647263 378058 416461 564666 308456 316226 416554 
470223 562523 1011929 569806 625091 858592 463001 472198 680484 
670188 794794 1414074 798688 896451 1233996 644337 660606 896084 
812490 863949 1704954 898370 1026286 1480567 731214 749438 1141218 
1011063 1068167 2019403 1050707 1174277 1713165 855315 868642 1367693 
1113312 1231835 2517235 1241847 1356979 2088881 986911 1011163 1626413 
1319474 1418686 2751397 1437838 1567799 2351337 1152431 1170162 1864231 
1406545 1582051 3031208 1602459 1766739 2625485 1296304 1320123 2064459 
1624857 1766829 3485259 1764820 1954954 2923494 1436416 1465269 2323784 
1700766 1956646 3891519 1938586 2179996 3281899 1564004 1590936 2542864 
1942049 2092872 4274456 2117983 2339897 3603443 1705044 1749883 2802710 
2013187 2273508 4464319 2256275 2515842 3751304 1837323 1871983 2932924 
2261888 2435036 4710677 2472213 2716002 4032322 1986208 2020484 3176073 
2296325 2596799 5041517 2637729 2905773 4307442 2120029 2156816 3392532 
2576018 2808603 5416172 2860673 3151440 4639356 2289481 2326722 3660316 
