59452	589630	461419	109180	241286	357612	1135425	185714	341758
92348	876325	725639	169196	379846	563976	1706887	268092	528003
129002	1412782	1029933	237096	538941	802711	2420666	379518	747022
155347	1613498	1302288	287057	678830	1013618	2946259	481075	948401
193511	2068332	1599247	346396	802942	1214545	3714230	572572	1139612
212057	2227023	1803062	410463	932221	1445498	4052148	675555	1338454
249530	2792754	2122072	464625	1077447	1848657	4794556	774531	1548114
270615	2905185	2381881	520783	1200438	1837626	5303828	864094	1739746
305103	3441296	2680146	569389	1336771	2065252	6056395	947234	1945854
326261	3528012	2895115	619769	1523980	2243207	6444520	1031681	2114756
370726	4169434	3175792	674138	1597503	2440351	7348225	1130865	2296345
387476	4167019	3452354	726445	1715984	2628618	7521546	1221720	2483324
422191	4765628	3693113	782927	1852672	2838569	8142478	1313816	2665429
442695	4779143	3906598	836467	1980574	3022204	8860947	1401679	2839975
479508	5481732	4195616	900087	2138066	3279809	9579706	1512323	3092107
