#SIMPLE-BINARY__NONE, SIMPLE-BINARY__GZIP, SIMPLE-BINARY__BZIP2, BYTE__NONE, BYTE__GZIP, BYTE__BZIP2, BIT__NONE, BIT__GZIP, BIT__BZIP2, 
295787 289910 838788 185079 214994 421992 169532 179868 288775 
493974 640002 1375464 500854 573448 561386 261878 276923 405841 
338016 361746 1085680 286039 330871 653156 258906 275003 454519 
384430 427909 1175215 333526 390205 737176 303146 328205 523266 
460615 488486 1359831 382507 443320 831622 345472 367584 593191 
495289 550883 1553579 437376 506490 955908 391029 415937 681974 
566493 609958 1700764 475372 553936 1052745 430210 459689 755973 
621156 668501 1884545 626289 607835 1176350 471684 503559 830657 
672190 732323 2019182 566454 657959 1248558 511667 544042 904723 
774588 860262 3007430 655752 989742 2054153 593888 637465 1080227 
778335 1052583 2406526 656615 768368 1489672 608513 635726 1042174 
832072 926236 2614464 700701 818869 1556237 639196 674415 1120623 
859786 974060 2700652 740733 880011 1687885 681456 721193 1210303 
950830 1016451 2842797 791708 931343 1767873 717147 761118 1270397 
