#SIMPLE-BINARY__NONE, SIMPLE-BINARY__GZIP, SIMPLE-BINARY__BZIP2, BYTE__NONE, BYTE__GZIP, BYTE__BZIP2, BIT__NONE, BIT__GZIP, BIT__BZIP2, 
5300004 1813063 1346503 2075056 1546659 1314598 909431 1307700 1316023 
7836516 1624973 1030187 2234184 1236393 1035401 931181 925500 930199 
10735372 2309026 1455327 3058898 1726221 1442068 1292867 1285565 1293554 
13023708 2799079 1750187 3705982 2082791 1725663 1569400 1562866 1567854 
15443988 3326480 2062776 4386052 2465711 2022616 1849752 1842439 1848786 
17632356 3785416 2337825 5008144 2810116 2294589 2106328 2098390 2105733 
20214844 4406919 2726724 5753766 3259807 2664799 2447364 2439868 2447850 
22349844 4854980 2996542 6362516 3599023 2923986 2706850 2698911 2708075 
24610108 5341628 3284757 7002580 3964369 3202753 3006066 2995838 3006640 
26717476 5791364 3550388 7604424 4298758 3461528 3229459 3220100 3231387 
28938036 6264884 3829133 8234562 4657129 3728165 3532088 3521313 3531561 
31021348 6701344 4090430 8830390 4991229 3981423 3785060 3773321 3786048 
33206916 7164516 4367693 9451782 5344874 4266044 4053883 4041480 4054738 
35272516 7598726 4627534 10043184 5674353 4516757 4261796 4250385 4265040 
37693244 8175291 4984795 10748364 6103136 4854141 4654414 4642965 4656598 
