#SIMPLE-BINARY__NONE,	SIMPLE-BINARY__GZIP,	SIMPLE-BINARY__BZIP2,	BYTE__NONE,	BYTE__GZIP,	BYTE__BZIP2,	BIT__NONE,	BIT__GZIP,	BIT__BZIP2,
39222	561919	435485	50408	181441	297466	1057356	92671	252062
98790	591135	922539	83567	372971	332428	1086228	119865	263439
118487	1090296	1259420	160469	711309	572366	1610454	154276	301343
100173	815516	1019618	134231	603384	502619	2260537	188662	362036
113442	969024	1201171	157619	710472	591415	2751927	221851	427742
138869	1242576	1376499	180562	816751	673867	3469017	252268	492930
147924	1273776	1558651	204312	923726	765693	3769610	286940	561428
167434	1570173	1723678	225625	1017562	848738	4440442	314944	622332
184070	1725541	1891723	245723	1109214	920933	4919045	347848	678846
203638	1864537	2035910	263765	1199393	993357	5620203	373535	738451
229535	2214098	2551653	303799	1390629	1254243	5985410	452126	911667
230985	2036069	2412770	304531	1384210	1176134	6831632	434118	850225
243080	2351991	2567808	324588	1480994	1239701	6956415	459082	908503
255402	2229989	2726731	341318	1576590	1318954	7526654	485459	982813
279156	2618600	2903954	366394	1666325	1396641	8202908	516986	1046854

