#SIMPLE-BINARY__NONE, SIMPLE-BINARY__GZIP, SIMPLE-BINARY__BZIP2, BYTE__NONE, BYTE__GZIP, BYTE__BZIP2, BIT__NONE, BIT__GZIP, BIT__BZIP2, 
148559 194040 465158 150243 178974 322811 141122 145842 249917 
215764 286539 715820 219166 267088 498635 210057 216659 418285 
307751 405120 1028256 309360 378226 726012 295105 304162 541845 
368016 411540 1147165 303193 378918 815814 265785 274435 657869 
447920 500178 1578300 367827 460541 1056529 317122 327615 846913 
483929 578912 1695090 424491 531767 1207655 374342 385367 963275 
593390 678529 2005710 496104 619941 1393953 430499 453853 1164973 
617793 747883 2374314 550969 693365 1611602 480269 495428 1295463 
737032 840912 2490844 615568 770874 1746360 534367 552260 1389583 
743265 915323 2952867 669981 850998 2022461 592101 609814 1606723 
884682 1015937 3219431 746302 933543 2210155 645895 666343 1751701 
878019 1077410 3199187 792124 997431 2257977 689254 709849 1809236 
1030652 1178984 3498609 863039 1083852 2428658 748609 770365 1956073 
999022 1242037 3672476 913988 1146904 2585911 787581 812885 2069921 
1166515 1351647 4031874 994729 1235876 2786026 847490 876199 2237975 
