#SIMPLE-BINARY__NONE, SIMPLE-BINARY__GZIP, SIMPLE-BINARY__BZIP2, BYTE__NONE, BYTE__GZIP, BYTE__BZIP2, BIT__NONE, BIT__GZIP, BIT__BZIP2, 
5300004 1813063 1346503 2075056 1546659 1314598 1309431 1307700 1316023 
8099988 2938528 2210634 3200050 2448208 2159103 2050052 2048544 2060473 
11499908 4330723 3285566 4575020 3558777 3198176 2978157 2976939 2993369 
14299764 5395994 4083055 5699966 4428415 3974756 3712496 3711502 3731189 
17399636 6603570 4995423 6949918 5400564 4853359 4534339 4533602 4558127 
20199444 7667570 5780053 8074846 6267319 5621168 5262416 5261903 5288772 
23599092 8998493 6777039 9449714 7343002 6585151 6181078 6180841 6212057 
26398668 10063109 7555521 10574555 8211608 7350379 6915347 6915332 6950489 
29498220 11255131 8447451 11824387 9181749 8207007 7737110 7737334 7776488 
32297900 12313417 9236375 12949267 10049408 8970877 8465155 8465607 8507925 
35397428 13504219 10111825 14199090 11020960 9821392 9286912 9287631 9334220 
38196964 14560469 10900513 15323916 11886736 10580120 10014921 10015854 10066214 
41296500 15755990 11773864 16573742 12857508 11432941 10836680 10837861 10891640 
44095876 16813663 12553727 17698508 13724677 12188321 11564649 11566058 11623560 
47495212 18135827 13541108 19073259 14803475 13130991 12486358 12488047 12549466 
