#SIMPLE-BINARY__NONE,	SIMPLE-BINARY__GZIP,	SIMPLE-BINARY__BZIP2,	BYTE__NONE,	BYTE__GZIP,	BYTE__BZIP2,	BIT__NONE,	BIT__GZIP,	BIT__BZIP2,
39222	561919	435485	50408	181441	297466	1057356	92671	252062
61423	823851	679882	81396	287367	473037	1589526	148899	404341
85505	1335955	949421	115163	399275	669244	2249435	212202	587133
101081	1503475	1178484	138132	497122	822701	2741260	259652	719781
127451	1954505	1475089	166749	606113	1021437	3463127	310129	889898
138488	2104099	1707803	190664	700263	1204314	3771235	360572	1038811
164653	2636574	2013631	218795	812077	1384440	4447281	425128	1259398
177738	2760082	2234075	242945	918872	1548423	4932587	468271	1342245
201084	3260010	2516709	270045	1011253	1735518	5639604	524324	1504645
211862	3325971	2747766	293958	1110340	1904705	5989073	574338	1654683
245450	3947220	3000965	321375	1256471	2082326	6861365	635237	1809398
252994	3921767	3237078	344917	1304461	2234876	6995360	664735	1938635
282539	4589966	3509630	372088	1417473	2424952	7576053	722706	2104145
288913	4521555	3716574	403069	1503547	2568364	8252430	766775	2231985
319706	5218209	4009528	428902	1622475	2790737	8931955	825635	2423109
